,turning and turning in the (All),and turning in the widening,turning in the widening gyre,mere anarchy is loosed upon (All),anarchy is loosed upon the,is loosed upon the world,The blood dimmed tide is,blood dimmed tide is loosed,dimmed tide is loosed and,tide is loosed and everywhere,the ceremony of innocence is (All),ceremony of innocence is drowned,the best lack all conviction (All),best lack all conviction while,lack all conviction while the,all conviction while the worst,surely some revelation is at (All),some revelation is at hand,Surely the Second Coming is,the second coming is at (All),second coming is at hand (All),Hardly are those words out,When a vast image out,a vast image out of,vast image out of Spiritus,image out of Spiritus Mundi,somewhere in sands of the (All),in sands of the desert,A shape with lion body,shape with lion body and,with lion body and the,lion body and the head,body and the head of,and the head of a (All),the head of a man (All),a gaze blank and pitiless (All),gaze blank and pitiless as,blank and pitiless as the,and pitiless as the sun,Is moving its slow thighs,Reel shadows of the indignant,shadows of the indignant desert,of the indignant desert birds,That twenty centuries of stony,twenty centuries of stony sleep,Were vexed to nightmare by,vexed to nightmare by a,to nightmare by a rocking,nightmare by a rocking cradle
1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032709053243706876,0.09730943162367112,0.1103930546975107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01172917674097107,0.10137359973683147,0.1265075477707711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006418512832340184,0.07702215731875128,0.0944438338645881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916,0.0,0.0,0.0,0.0,0.0,0.0009452129079434712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002835638834852716,0.08695958575444251,0.08601437351263286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,0.0018765620168892383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028148430253338574,0.10414919415779877,0.0844452898718373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918,0.0010671965533504135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074703763175421045,0.07043497163294887,0.08217413105526816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006826045950703019,0.05070776865068183,0.07118590494847865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0,0.0,0.0,0.0,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0,0.0,0.0,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.00878345574051309,0.08703606368953842,0.07825260667226885,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0,0.0015969919830993717,0.0015969919830993717,0.0,0.0,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717,0.0015969919830993717
1921,0.00455808146782033,0.00455808146782033,0.00455808146782033,0.0018232325649236714,0.00455808146782033,0.00455808146782033,0.0,0.0,0.002734848791874356,0.002734848791874356,0.00455808146782033,0.00455808146782033,0.00455808146782033,0.00455808146782033,0.00455808146782033,0.00455808146782033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07657576972519564,0.09754294472141822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1922,0.0,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0,0.0,0.0,0.0,0.0,0.0007847140715000478,0.0007847140715000478,0.0,0.0,0.0,0.0007847140715000478,0.0007847140715000478,0.0,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0015694281430000956,0.09573511317029215,0.09887397389718444,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478,0.0007847140715000478
